,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"God’s Menu","Stray Kids",427974,https://open.spotify.com/track/0RzT9tBLcQhofW2TNiHP9B
56,Deeper,Pamungkas,427006,https://open.spotify.com/track/6WjqPoZRuJ2JysneF77RcB
57,Tolong,"Budi Doremi",425513,https://open.spotify.com/track/5X5Vj8FcxyoLzq9qxAa45U
58,Psycho,"Red Velvet",415502,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
59,"Tanya Hati",Pasto,414004,https://open.spotify.com/track/5D5wUmhN0uIWnPb6mNOBiN
60,"Adu Rayu","Yovie Widianto",411792,https://open.spotify.com/track/3FcCAFQj4bLpfxo8gj1kk9
61,"Best Friend","Rex Orange County",408381,https://open.spotify.com/track/47Bg6IrMed1GPbxRgwH2aC
62,Bertaut,"Nadin Amizah",405050,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
63,"Tukar Jiwa",Tulus,403700,https://open.spotify.com/track/5VAGZmCKBxYT85w51gNy27
64,"Cinta Luar Biasa",Andmesh,398550,https://open.spotify.com/track/1JxoK0EU5SHupbXjSwYaN7
65,"Toosie Slide",Drake,398446,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
66,"Sekali Ini Saja","Glenn Fredly",391900,https://open.spotify.com/track/1GmIlN8URkjZxtV99zKlBk
67,"I Love You 3000","Stephanie Poetri",389943,https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc
68,"Boy With Luv (feat. Halsey)",BTS,387078,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
69,Nyaman,Andmesh,376547,https://open.spotify.com/track/1sxUn0SdlFG05Q3qAA2FlE
70,"I Like You So Much, You'll Know It","Honey Jemlan",376186,https://open.spotify.com/track/4zATlrA9Lf9zHGLvEP47Ei
71,"Can We Kiss Forever?",Kina,374391,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
