,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
52,"ily (i love you baby) (feat. Emilee)","Surf Mesa",751128,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
53,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,749280,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
54,"Break My Heart","Dua Lipa",744240,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
55,Portofino,"Il Pagante",740510,https://open.spotify.com/track/6xc77qJbTNh3yQzSopZEuw
56,Caramelo,Ozuna,714056,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
57,"Tardissimo (feat. Mahmood & Marracash)","Guè Pequeno",675191,https://open.spotify.com/track/4P3ZKz4tnPiaGIflQElKgJ
58,"Blinding Lights","The Weeknd",670493,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
59,"Puro Sinaloa (feat. Tedua, Rkomi & Lazza)",Ernia,661286,https://open.spotify.com/track/5E75l3Zb0vzdiDNJczr29z
60,Hollywood,"LA Vision",648269,https://open.spotify.com/track/1XdMp6v9Q3N80WnKSbGfl4
61,"Roses - Imanbek Remix","SAINt JHN",647970,https://open.spotify.com/track/2oNxPr6vDSqBYWWvvqqgMU
62,"NEON - Le Ali (feat. Elisa)",Marracash,645134,https://open.spotify.com/track/76cEI7LczlKZ1yLAHIoPBJ
63,"Balla Per Me","Tiziano Ferro",645041,https://open.spotify.com/track/6my3pKZ8QxxI5ZezQVR0wf
64,"Ride It",Regard,636021,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
65,Saigon,"Guè Pequeno",631712,https://open.spotify.com/track/0nd1tWz1bmTQ2ObCnZCLV9
66,"blun7 a swishland","tha Supreme",631357,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
67,"El Efecto","Rauw Alejandro",622332,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
68,"Musica (E Il Resto Scompare)","Elettra Lamborghini",621707,https://open.spotify.com/track/3Nc7IorgrSffzaQrQWVw4L
69,"Le Feste Di Pablo (con Fedez)",CARA,617977,https://open.spotify.com/track/73x0EIT2YyIxTs3Rpd3n5T
70,"Mambo Salentino",Boomdabash,601408,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
71,"Boss Bitch","Doja Cat",600463,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
72,GOOBA,6ix9ine,585200,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
73,"Djadja (feat. Maluma) - Remix","Aya Nakamura",579755,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
74,"Cin Cin",Alfa,577241,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
75,"Te lo prometto","Il Tre",572080,https://open.spotify.com/track/72aqCNAdOo6H4nrPyAivSV
76,"Party Girl (Remix)",StaySolidRocky,557098,https://open.spotify.com/track/0XkmeG97T4mtYlWRJcrxec
77,Chiasso,Random,552066,https://open.spotify.com/track/76B3Xb8EqIY4NJF5xoNrCH
78,9.3,Mr.Rain,542070,https://open.spotify.com/track/1prey7RGLzP9zS4dk2Y6a8
79,Fallo,MamboLosco,541234,https://open.spotify.com/track/5toEzQqaae1tjFE3EHy1gM
80,"12 Luglio","Valerio Mazzei",535398,https://open.spotify.com/track/5zRni8DNAahcnubIDaTYC2
81,Amarena,"Frah Quintale",533506,https://open.spotify.com/track/0nqwOIZtuWl0xVbfYiL6UW
82,"Boogieman (feat. Salmo)",Ghali,528148,https://open.spotify.com/track/58bRZqUPWnpop0WC9ob5wJ
83,Control,"Zoe Wees",527184,https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
84,"Cacao (feat. Pyrex)",Ghali,527100,https://open.spotify.com/track/0lAzr7LGHV1sdcYJfEKNmu
85,"Bam Bam Twist (feat. Gow Tribe, Frenetik&Orang3)","Achille Lauro",526669,https://open.spotify.com/track/3Oc9ywNtQuuutK3ovrYIfe
