,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
51,"Life's A Mess (feat. Halsey)","Juice WRLD",305739,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
52,Yalgaar,"Ajey Nagar (CarryMinati)",298910,https://open.spotify.com/track/0RGp4KA9wvndxqPIWoKwnD
53,"Stay Gold",BTS,296281,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
54,"Past Life (with Selena Gomez)","Trevor Daniel",291775,https://open.spotify.com/track/4P6IttK2PRBjyr3fm0pP7t
55,"Udd Gaye - Bacardi House Party Sessions",Ritviz,288114,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX
56,"Someone You Loved","Lewis Capaldi",286608,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
57,Sakhiyaan,"Maninder Buttar",285345,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
58,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",284874,https://open.spotify.com/track/1aIhAX6324JZmhNnGltwkK
59,"Don't Start Now","Dua Lipa",283860,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
60,"Wishing Well","Juice WRLD",281672,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
61,"Be Kind (with Halsey)",Marshmello,280392,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
62,"Yaad Piya Ki Aane Lagi","Neha Kakkar",279294,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
63,"Stuck with U (with Justin Bieber)","Ariana Grande",278593,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
64,"On My Way","Alan Walker",277890,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
65,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",274395,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
66,"Lagdi Lahore Di (From ""Street Dancer 3D"")","Guru Randhawa",272614,https://open.spotify.com/track/5ZQnQnbUVtBO0pl3ShqVHG
67,"Tere Naal","Tulsi Kumar",269576,https://open.spotify.com/track/2Vw94w6FxCyaYwyCivi9Py
68,"Can We Kiss Forever?",Kina,269519,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
69,"Without Me",Halsey,268675,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
70,"Tujhe Kitna Chahein Aur (Film Version) [From ""Kabir Singh""]","Jubin Nautiyal",259066,https://open.spotify.com/track/3lT4SlZVvqLhMeiuBv7gHW
71,"Buttabomma - Telugu","Armaan Malik",258128,https://open.spotify.com/track/0dnDTvdUco2UbaBjUtPxNS
72,"The Box","Roddy Ricch",255965,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
73,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",Mithoon,254614,https://open.spotify.com/track/2U0BLmYoSESYOdwMxW2yA9
74,"Jaan 'Nisaar (Arijit)","Arijit Singh",253016,https://open.spotify.com/track/6pzlnyHTVYi5FOmrgOmC95
75,Paapi,"Rangrez Sidhu",252581,https://open.spotify.com/track/5WwtCIJprqASHtAYjtftI4
76,Satisfya,"Imran Khan",250567,https://open.spotify.com/track/6HGoVbCUr63SgU3TjxEVj6
77,"Let Me Down Slowly","Alec Benjamin",250545,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
78,"bad guy","Billie Eilish",250389,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
79,"Bambiha Bole","Sidhu Moose Wala",249816,https://open.spotify.com/track/60GK6ultL3skUR60O9haSJ
80,"Boy With Luv (feat. Halsey)",BTS,249765,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
