,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"La Difícil","Bad Bunny",42014,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
57,"Los Besos",Greeicy,41324,https://open.spotify.com/track/6QSu3mgC8kUYtEDoBBQcJG
58,"Adicto (with Anuel AA & Ozuna)",Tainy,41288,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
59,"Roses - Imanbek Remix","SAINt JHN",41242,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
60,"Si Te Vas",Sech,40654,https://open.spotify.com/track/2aGN6PplBq0xigh2lmqLbw
61,"La Forma en Que Me Miras","Super Yei",39893,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
62,"La Santa","Bad Bunny",39178,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
63,"Pa Mí - Remix",Dalex,38998,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
64,"Bellaquita - Remix",Dalex,38339,https://open.spotify.com/track/4GGwM2Krtlx9G9ii1RaEOx
65,Callaita,"Bad Bunny",38237,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
66,Quizas,"Rich Music LTD",37902,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
67,Mejor,Dalex,37755,https://open.spotify.com/track/6C1jKbkCUgFws7M0M4oGCB
68,"Si Estuviésemos Juntos","Bad Bunny",37628,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
69,"Sigues Con El - Remix",Arcangel,37205,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
70,goosebumps,"Travis Scott",36946,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
71,Reggaetonera,"Anuel AA",36464,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH
72,Negro,"J Balvin",36364,https://open.spotify.com/track/2hsA9YWuF3C9Gosi4dpjJN
73,"La Mitad",Camilo,36181,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
74,Blanco,"J Balvin",36077,https://open.spotify.com/track/5pXy29xzxR3aTB0SYRI590
75,"RITMO (Bad Boys For Life)","Black Eyed Peas",35695,https://open.spotify.com/track/4NCsrTzgVfsDo8nWyP8PPc
76,"SICKO MODE","Travis Scott",35442,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
77,Narcos,"Anuel AA",35416,https://open.spotify.com/track/7mcdgAXmb35dakBnfDIv3q
78,"Break My Heart","Dua Lipa",35344,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
79,TBT,"Sebastian Yatra",35280,https://open.spotify.com/track/4s45VgkknMFkdiGoUcjxQU
80,"Te Vi","Piso 21",35009,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
81,"Se Me Olvidó","Christian Nodal",34636,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
82,Bellaquita,Dalex,34521,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
83,"Los Consejos",Greeicy,34495,https://open.spotify.com/track/17A6MT3U1YKYsYpn3tOEpA
84,"Rain On Me (with Ariana Grande)","Lady Gaga",34241,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
85,"De Los Besos Que Te Di","Christian Nodal",34194,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
86,"Adore You","Harry Styles",33755,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
87,"The Box","Roddy Ricch",33524,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
88,"How You Like That",BLACKPINK,33252,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
89,Medusa,"Jhay Cortez",32938,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
90,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",32807,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
91,"CANCIÓN CON YANDEL",Yandel,32526,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
92,Desconocidos,"Mau y Ricky",32307,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
93,"La Difícil",Camilo,32131,https://open.spotify.com/track/6fNJm8sYmCBbmkKpKgTReA
94,"11 PM",Maluma,32100,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
95,"Soltera - Remix",Lunay,31729,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
96,"No Te Contaron Mal","Christian Nodal",31709,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
97,"A Tu Merced","Bad Bunny",31527,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
98,"BYE ME FUI","Bad Bunny",31461,https://open.spotify.com/track/0FktnzDqjClqU6iqOZVEs2
99,"THE SCOTTS","THE SCOTTS",30965,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
100,"Como Llora",Juanfran,30640,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
101,"Otro Trago - Remix",Sech,30631,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
102,Locura,"Cali Y El Dandee",30508,https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr
103,MAMACITA,"Black Eyed Peas",30472,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
104,Definitivamente,"Daddy Yankee",30393,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
105,Loco,Beéle,29988,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
106,Cuaderno,Dalex,29918,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
107,"HIGHEST IN THE ROOM","Travis Scott",29797,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
108,"Si Se Da - Remix","Myke Towers",29663,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
109,PAM,"Justin Quiles",28856,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn
110,"Someone You Loved","Lewis Capaldi",28542,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
111,"Loco - Remix",Farruko,28284,https://open.spotify.com/track/6nGM44ZP7vSo0istUW2MOq
112,Follow,"KAROL G",28126,https://open.spotify.com/track/2w1rq80FIrbxeJy9WYURxw
113,"Toda Remix - Remix","Alex Rose",27891,https://open.spotify.com/track/47ZS1OjnJpJVfGN9yHXfMn
114,"Otro Trago",Sech,27846,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
115,"Feel Me","Rich Music LTD",27621,https://open.spotify.com/track/6KeweE0BlXx3AtjMKhBLaz
116,"La Bebe - Remix","Anuel AA",27343,https://open.spotify.com/track/3DyiAk1BzIF8rq9rimypG4
