,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,16v,"Cavallini & Shrty",88296,https://open.spotify.com/track/4nMnSPySmQH5D0I0FM9BwE
57,Tikkei,"Nelli Matula",88188,https://open.spotify.com/track/0C2jAWEAt6rJB7K3PamM5J
58,"Play Date","Melanie Martinez",88132,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
59,"In Your Eyes","The Weeknd",86553,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
60,"Tuhansien Lärvien Maa","Petri Nygård",86430,https://open.spotify.com/track/4gY7zyEfAg6fO41Kd2LvjB
61,"THE SCOTTS","THE SCOTTS",86123,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
62,"Teipillä tai rakkaudella",ABREU,85358,https://open.spotify.com/track/2vdsyiA0RcYs3C9VMnmYac
63,LINKO,"Lord Est",83970,https://open.spotify.com/track/4BTGcyauPG7s9ECo5Qw90G
64,"Ur So F**kInG cOoL","Tones And I",82821,https://open.spotify.com/track/6KiEsqGg0HBOSMflVH7Onx
65,Pintakaasulla,JVG,82813,https://open.spotify.com/track/3eHkFrUUGYuwEgIPRPtW9L
66,"Esson baariin",Poju,81827,https://open.spotify.com/track/2SNZVqgDiiuOUe2qPOW1m1
67,"Lose Somebody",Kygo,81420,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
68,"Some Say - Felix Jaehn Remix",Nea,80723,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
69,"Kehumatta paras",Ahti,80329,https://open.spotify.com/track/1TI28YtA9wSIWN5qC5xaMo
70,Salt,"Ava Max",79221,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
71,"How You Like That",BLACKPINK,77884,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
72,"Muijii stadis",Gettomasa,76005,https://open.spotify.com/track/2JjDXcC82gp21CV2WxP10k
73,"Suomen muotoisen pilven alla","Arttu Wiskari",74956,https://open.spotify.com/track/2lvZlCIDkDHWc2Q9Y51GUJ
74,"Boss Bitch","Doja Cat",74500,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
75,Titanic,"Juice WRLD",73940,https://open.spotify.com/track/1QoG0Yqz1onMsdbOibZVke
76,"Hei Hei Kesä",Niilo22,73140,https://open.spotify.com/track/0cQ4rC6JjeCwBIKXLV9VVY
77,Supalonely,BENEE,72978,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
78,"Lokin päällä lokki",Apulanta,72650,https://open.spotify.com/track/4Sk3IcLo2nDenuBs8JBWBg
79,"Thelma & Louise","Sara Siipola",72050,https://open.spotify.com/track/0KFeeeoxCZ6GQiZHoBUDg3
80,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,71104,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
81,"Before You Go","Lewis Capaldi",70806,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
82,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",70578,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
83,"Someone You Loved","Lewis Capaldi",70566,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
84,"TKN (feat. Travis Scott)",ROSALÍA,70488,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
85,"KYSYMYS (feat. Pyhimys)",Cledos,70408,https://open.spotify.com/track/4fVwrMbWPciDYK74Rg59e5
86,demonit,william,68539,https://open.spotify.com/track/7knH5wNDJ5NYbJrohazyRO
87,"Vanha (feat. BEHM)","Keko Salata",68463,https://open.spotify.com/track/5JpBSYup4GnSiALeXlKffO
88,"Ovi kii",Ina,68289,https://open.spotify.com/track/4Tda6DEJSrsUTsxe9MHBta
89,"OMG (feat. Erika Vikman)",Kymppilinja,68226,https://open.spotify.com/track/4abByCNVCu2FNXmBtHmxJc
90,2020,"Anna Puu",68144,https://open.spotify.com/track/0GqFfjQLx1294EupKJnhhh
91,"Don't Start Now","Dua Lipa",67561,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
92,"Mentävä On","DJ Oku Luukkainen",66692,https://open.spotify.com/track/3MNT6f3O8kyyJmi3iOXoLY
93,"Love Me Land","Zara Larsson",66676,https://open.spotify.com/track/3J6bLodhUHgNyzEZLgcieN
94,"Bad Energy","Juice WRLD",66043,https://open.spotify.com/track/0JoWBcL61YWLXM5vW0YTHO
95,"Be Kind (with Halsey)",Marshmello,66028,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
96,Dior,"Pop Smoke",65795,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
97,"Surullinen Klovni",MKDMSK,65738,https://open.spotify.com/track/4ASbWGCzKRYA07lqDfouYu
98,v!@%#mikko,Pyhimys,65425,https://open.spotify.com/track/2q3JdqkulAHyOzIpA52z42
99,Benefits,"Robin Packalen",65285,https://open.spotify.com/track/05r4HlFtm3PyNPw24zUdWX
100,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",65225,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
101,"Blood On My Jeans","Juice WRLD",65168,https://open.spotify.com/track/3MmCFghNjzZMn3HKqbVizn
102,"Godzilla (feat. Juice WRLD)",Eminem,64738,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
103,"Liian vähän, liian myöhään",Evelina,64279,https://open.spotify.com/track/1DwH7BoPMWlR9yNYqJqTBX
104,"Say So","Doja Cat",64198,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
105,"Toosie Slide",Drake,64074,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
106,"Stunnin' (feat. Harm Franklin)","Curtis Waters",64026,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
107,Physical,"Dua Lipa",62753,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
108,Cicciolina,"Erika Vikman",62659,https://open.spotify.com/track/1BrCg5ZARTc16Y8jg8yZvg
109,Hitaasti,Evelina,62363,https://open.spotify.com/track/3t37QkiFveNron3awrhj6C
110,Señorita,"Shawn Mendes",62349,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
111,Jääkukkia,"Lauri Tähkä",62065,https://open.spotify.com/track/4xqU0uR2FkuZPxicdOADZC
112,"Poikien vessa (feat. costee)",Mouhous,62001,https://open.spotify.com/track/1NKZmg1pXWa05C0yNld9hl
113,DEUTSCHLAND,Rammstein,61961,https://open.spotify.com/track/2bPGTMB5sFfFYQ2YvSmup0
114,"Fighting Demons","Juice WRLD",61643,https://open.spotify.com/track/0jo6Nd4iJU0UFHqS0Xd4l4
115,"The Box","Roddy Ricch",61625,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
116,"Palavaa vettä","Lauri Tähkä",61031,https://open.spotify.com/track/2UahjeHfrDFq39DWPHvvyN
117,"Lucid Dreams","Juice WRLD",60956,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
118,"7300 päivää (feat. Erika Vikman & Danny)","DJ Oku Luukkainen",60731,https://open.spotify.com/track/2uDj5Xr9DEsXq7NR3Wtfmw
119,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)","Ty Dolla $ign",60583,https://open.spotify.com/track/4JB0EAT4BkLShTyTt50FmO
120,"Löytäjä saa pitää","Mikael Gabriel",59970,https://open.spotify.com/track/5thh7AP6eGOECmvhfkTuex
121,"TROLLZ (with Nicki Minaj)",6ix9ine,59667,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
122,"Edelleen Edellä",MKDMSK,58888,https://open.spotify.com/track/2olczyd36sewslBTQT53ot
123,Aerobist,"Sini Sabotage",58811,https://open.spotify.com/track/2wQFQM7oyPlZie6Zx3WNLr
124,"Muistuta mua",Pyhimys,58786,https://open.spotify.com/track/5PzZZAbLGv7IghljbgJ3AF
125,"Parempi yksin - Recorded At Spotify Studios, Stockholm",Pyhimys,58653,https://open.spotify.com/track/6C8yvrWVybDnGYZa5yHBHm
126,Mökkitie,"Arttu Wiskari",58650,https://open.spotify.com/track/6jN8PJP4SYnnz4BT8dn127
