,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"ily (i love you baby) (feat. Emilee)","Surf Mesa",261640,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
56,"Source Ft Aden",Yasin,260301,https://open.spotify.com/track/6vXi13WQA7ExaAcdTJ26We
57,"DIP DIP","Dree Low",254599,https://open.spotify.com/track/1JLzrXRCV1IBnOMdo7cCaM
58,Righteous,"Juice WRLD",252659,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
59,"Before You Go","Lewis Capaldi",250352,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
60,"Someone You Loved","Lewis Capaldi",249866,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
61,Valhalla,Ringnes-Ronny,249516,https://open.spotify.com/track/1icRHA6kFSipRbZREQPaA0
62,"Take My Hand",Oberg,245772,https://open.spotify.com/track/2r83X34HTciGAKNkHDuGaJ
63,"Nån av oss","Miriam Bryant",245122,https://open.spotify.com/track/3KTPAavMfc8FqtMLAaMXkH
64,NBA,Adel,240844,https://open.spotify.com/track/01vHh12JCGZ8ERGG4K6ZLB
65,"Avundsjuk på regnet","Daniel Adams-Ray",239459,https://open.spotify.com/track/2Xx0cOqgCzNyEbAA6IMtHw
66,KONTROLLZON,Haval,239140,https://open.spotify.com/track/1pqHv4SgUoIZf8UCW3zwte
67,Workin,Yasin,231956,https://open.spotify.com/track/67ttkEO235xJmxhQ9tOM1t
68,Dior,"Pop Smoke",231224,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
69,"Like It Is",Kygo,230656,https://open.spotify.com/track/4dyrqiXUcK29hzrL2elqO3
70,Sunnanvind,Mares,229551,https://open.spotify.com/track/4GK4mydvnsodLEHWb4zJV4
71,"Rosa himmel (från ""Störst av allt"")","Molly Sandén",228797,https://open.spotify.com/track/3xkGJKpWrn1n6Bk2m84bJP
72,"Babblarnas vaggvisa",Babblarna,228615,https://open.spotify.com/track/2AfIH7lNuwcbKBBfZH3ks5
73,"Sånger från förut",GAMMAL,227172,https://open.spotify.com/track/7eXmd9KhEpsvATd568suYZ
74,"Blueberry Faygo","Lil Mosey",226262,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
75,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,223938,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
76,Goliath,"Smith & Thell",217852,https://open.spotify.com/track/0z4kyKuFGmUV7WQ7gB1sAp
77,"Toosie Slide",Drake,217286,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
78,"Klär av dig","Victor Leksell",216397,https://open.spotify.com/track/2YdXecjfECHt5P7bv8XVA6
79,"Don't Start Now","Dua Lipa",215064,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
80,"JAGA BRÖDET",Z.E,214263,https://open.spotify.com/track/4r2ZiFnJAUyJvN70QGomc8
81,Apelsinskal,Tjuvjakt,214087,https://open.spotify.com/track/70uSAXMxTpzlD66cbkYTCx
82,"Fingrarna i halsen",Bolaget,213775,https://open.spotify.com/track/6S4UkO871bZ6kikkqVgSqr
83,Tillfälligheter,"Veronica Maggio",212309,https://open.spotify.com/track/0rBj6lYQUMHwTJ33sdj6Qz
84,"Don't Cry For Me (with Jason Derulo)",Alok,206075,https://open.spotify.com/track/0FLwo3U1NrjocfK2FDisrX
85,Weekend,LIZOT,201721,https://open.spotify.com/track/4KPYXZUCKYLEEcGmKN4Exs
86,"Think About Things","Daði Freyr",201613,https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
87,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)","Ty Dolla $ign",200964,https://open.spotify.com/track/4JB0EAT4BkLShTyTt50FmO
88,"TKN (feat. Travis Scott)",ROSALÍA,199732,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
89,Titanic,"Juice WRLD",198126,https://open.spotify.com/track/1QoG0Yqz1onMsdbOibZVke
90,"Head & Heart (feat. MNEK)","Joel Corry",197940,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
91,"FIENDES FIENDE",1.Cuz,197722,https://open.spotify.com/track/0o2SP0X1mCByQtkNdNGNnn
92,"Ska flyga nu (feat. Leila K)","Håkan Hellström",195871,https://open.spotify.com/track/5KVfHgFbJyqV4Q0DIgH3vW
93,Midsommarnatt,"El Papi",192510,https://open.spotify.com/track/46SPeM6PH7euQbb1npKzwY
94,"Gav Allt",Jireel,190097,https://open.spotify.com/track/7mEH5HDEDwZta6G2oHTmvn
95,"Den Sommaren (feat. Miriam Bryant)",Jireel,189781,https://open.spotify.com/track/55itpd7i3Mb5N7puQw75p5
96,BLod,Asme,189523,https://open.spotify.com/track/0OxluJtZjsOELNSF3UuiFT
97,"Kär Pt. 2",Fricky,189521,https://open.spotify.com/track/2Yo21qKnKp8UHrpRZ3qwcR
98,Sverige,"Molly Sandén",189148,https://open.spotify.com/track/0U04rQKFeBhMKDOEc8NYjk
99,"Dansar med mig själv",estraden,188728,https://open.spotify.com/track/11BrVHgleel7NNoPWdGwgl
100,"HELA ORTEN DANSAR","Dree Low",185696,https://open.spotify.com/track/7iwCho0zjHkHmkMXEpXI91
101,"Stuck with U (with Justin Bieber)","Ariana Grande",185175,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
102,"Bad Energy","Juice WRLD",183420,https://open.spotify.com/track/0JoWBcL61YWLXM5vW0YTHO
