,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)","Ty Dolla $ign",8845,https://open.spotify.com/track/4JB0EAT4BkLShTyTt50FmO
55,Piyan,Preslava,8756,https://open.spotify.com/track/1iIIsJlKQW7E4eLw7x5XOI
56,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",8733,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
57,Secrets,Regard,8671,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
58,"After Party","Don Toliver",8643,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
59,"Say So","Doja Cat",8595,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
60,"Tova sym az","Atanas Kolev",8428,https://open.spotify.com/track/0lPaojrpJuz2sxENg6eusE
61,Señorita,"Shawn Mendes",8396,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
62,"Ride It",Regard,8340,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
63,"Got It On Me","Pop Smoke",8137,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
64,"bad guy","Billie Eilish",8090,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
65,Supalonely,BENEE,8089,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
66,"Kings & Queens","Ava Max",7998,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
67,"Stuck with U (with Justin Bieber)","Ariana Grande",7989,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
68,"Don Omar","EMIL TRF",7777,https://open.spotify.com/track/4LV5CeYwDfW5fEIovzQKLi
69,Falling,"Trevor Daniel",7768,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
70,Paranoya,Vanya,7752,https://open.spotify.com/track/4ix0ntu244dcdAoSml7trs
71,Titanic,"Juice WRLD",7713,https://open.spotify.com/track/1QoG0Yqz1onMsdbOibZVke
72,"Lose Control",MEDUZA,7661,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
73,Physical,"Dua Lipa",7605,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
74,"I See Red","Everybody Loves an Outlaw",7312,https://open.spotify.com/track/5MAK1nd8R6PWnle1Q1WJvh
75,"everything i wanted","Billie Eilish",7310,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
76,"In Your Eyes","The Weeknd",7237,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
77,SAD!,XXXTENTACION,7195,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
78,"Predishnoto momche",Emrah,7183,https://open.spotify.com/track/5P6TLP2iIqbmpqwrXn8Udl
79,Panika,Galena,7122,https://open.spotify.com/track/5wcPNdRpptulbKgLljGjMh
80,"Adore You","Harry Styles",7082,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
81,"Someone You Loved","Lewis Capaldi",7006,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
82,ROXANNE,"Arizona Zervas",6956,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
83,"Bad Energy","Juice WRLD",6941,https://open.spotify.com/track/0JoWBcL61YWLXM5vW0YTHO
84,Lamborghini,Galena,6920,https://open.spotify.com/track/5v1ngTQTFEjKEirsiaKsvQ
85,"lovely (with Khalid)","Billie Eilish",6882,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
86,"Intentions (feat. Quavo)","Justin Bieber",6846,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
87,"Samo Za Men","EMIL TRF",6812,https://open.spotify.com/track/6sD2Ar3Wmt2Tbxmpw43Qsh
88,"Blood On My Jeans","Juice WRLD",6744,https://open.spotify.com/track/3MmCFghNjzZMn3HKqbVizn
89,"Tell Me U Luv Me (with Trippie Redd)","Juice WRLD",6696,https://open.spotify.com/track/7iIzwqG5UxPYwTYUUK4pzU
90,"Be Kind (with Halsey)",Marshmello,6642,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
91,УАУ,"Atanas Kolev",6640,https://open.spotify.com/track/5xO8Q2lfLBzAjsjrqjoBsR
92,"Dobre li si",Galena,6622,https://open.spotify.com/track/3RaNeu1vy6xooSAYm6h1UQ
93,"Te Amo",Torino,6526,https://open.spotify.com/track/6fcPuGEcPN6oq7DCLocYU0
94,"Tvoeto Ferrari",Yanitsa,6511,https://open.spotify.com/track/5L34SZ4lmoPZiEPQtP1TTf
95,Ransom,"Lil Tecca",6508,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
96,Vartelezhkata,Yanitsa,6460,https://open.spotify.com/track/4HMiW3eARgvjdCqmhuMJ1V
