,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Ma Vrea",Abi,29669,https://open.spotify.com/track/2lokHpbqDzcTsXuesiNzYF
57,Haolo,"Killa Fonic",29214,https://open.spotify.com/track/0eHoaHif9kYQXlHF5J5ti7
58,"Before You Go","Lewis Capaldi",28595,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
59,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,28453,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
60,"Godzilla (feat. Juice WRLD)",Eminem,28392,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
61,"Don't Start Now","Dua Lipa",28166,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
62,"Dance Monkey","Tones And I",27731,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
63,"Wifey a Ta",Nane,27710,https://open.spotify.com/track/6ZXHy5dHvjUz3rXxQBll8I
64,Nada,Nane,27679,https://open.spotify.com/track/0hyh9GJ6wCm4xxNhazfAMx
65,"Bag Un Blunt",Ian,27593,https://open.spotify.com/track/1nGnZ1SNJHg0qmCKZLiCgi
66,"How You Like That",BLACKPINK,27521,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
67,"After Party","Don Toliver",27513,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
68,Nein,Nane,27048,https://open.spotify.com/track/64aUDGfRGc52k2fMAYZcty
69,B.M.V.,Nane,26663,https://open.spotify.com/track/0YF7NWEb8CTZQFXCIL2Ztq
70,Dior,"Pop Smoke",26629,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
71,"Arde-ma Baby","Alex Velea",26561,https://open.spotify.com/track/0rfa9454z45KqBj4HpliwH
72,Mesaje,Nane,26533,https://open.spotify.com/track/6lMXG9eMXu9XweyBJLZZ7F
73,"WHATS POPPIN","Jack Harlow",26184,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
74,"Rain On Me (with Ariana Grande)","Lady Gaga",26109,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
75,"Visu' meu",Nane,25338,https://open.spotify.com/track/7mpivM5XPzW6iMze5ijRNn
76,"OUT WEST (feat. Young Thug)",JACKBOYS,25148,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
77,Secrete,"Carla's Dreams",25005,https://open.spotify.com/track/3Lxq3tB7w8EyJBwIYYyF9U
78,"Lose Control",MEDUZA,24919,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
79,"Cum Era",Delia,24776,https://open.spotify.com/track/7xmJDeRlqSLFlyDBZ9JQs7
80,"Nu Vreau, Nu Iau",Nane,24613,https://open.spotify.com/track/4YYRc0njHof9u6a5i0jHon
81,"Someone You Loved","Lewis Capaldi",24372,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
82,"Intentions (feat. Quavo)","Justin Bieber",24278,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
83,"Lucid Dreams","Juice WRLD",24067,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
84,"Kings & Queens","Ava Max",23977,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
85,Artileria,"Dani Mocanu",23866,https://open.spotify.com/track/5yDIreW64FPj1UkCTRxFvs
86,"In Your Eyes","The Weeknd",23813,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
87,Falling,"Trevor Daniel",23707,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
88,Titanic,"Juice WRLD",23475,https://open.spotify.com/track/1QoG0Yqz1onMsdbOibZVke
89,"Blood On My Jeans","Juice WRLD",23467,https://open.spotify.com/track/3MmCFghNjzZMn3HKqbVizn
90,"Bad Energy","Juice WRLD",22776,https://open.spotify.com/track/0JoWBcL61YWLXM5vW0YTHO
91,Savana,"Marko Glass",22674,https://open.spotify.com/track/4BJsV9Iu4sJphgvAyDxfkp
92,"Be Kind (with Halsey)",Marshmello,22579,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
93,"Ride It",Regard,22241,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
94,"Stunnin' (feat. Harm Franklin)","Curtis Waters",21837,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
95,"Tell Me U Luv Me (with Trippie Redd)","Juice WRLD",21435,https://open.spotify.com/track/7iIzwqG5UxPYwTYUUK4pzU
96,"Stuck with U (with Justin Bieber)","Ariana Grande",21401,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
97,"you broke me first","Tate McRae",21307,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
98,Supalonely,BENEE,21203,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
