,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"HIGHEST IN THE ROOM","Travis Scott",37041,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
55,Falling,"Trevor Daniel",35617,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
56,"Be Kind (with Halsey)",Marshmello,35459,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
57,Kivetett,"Follow The Flow",33813,https://open.spotify.com/track/2I7SGWX5llEkZ5AI2XWN1o
58,"Lucid Dreams","Juice WRLD",32561,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
59,"Say So","Doja Cat",32513,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
60,Memories,"Maroon 5",31753,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
61,"Maradok távol","Follow The Flow",31687,https://open.spotify.com/track/14b5S9m1tvXKEiSWAdw62r
62,Secrets,Regard,31018,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
63,"Amikor Feladnád","Halott Pénz",30839,https://open.spotify.com/track/5pZDYdwuEWlCT2Rs7mNyvW
64,Megmondtam,"T. Danny",30743,https://open.spotify.com/track/7MYHbKllkLFFdM4LfGhkMW
65,Circles,"Post Malone",30706,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
66,"All Around The World (La La La)",R3HAB,30597,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
67,"Piece Of Your Heart",MEDUZA,30569,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
68,YAYA,6ix9ine,30512,https://open.spotify.com/track/6EfBMJQwe2xLgldra6DaYp
69,"SICKO MODE","Travis Scott",30481,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
70,Visszajövök,"Bagossy Brothers Company",30207,https://open.spotify.com/track/3UGHQNNcJNkowbiI8Iahy0
71,"WHATS POPPIN","Jack Harlow",30137,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
72,Füttyös,Majka,30106,https://open.spotify.com/track/6bsERSsjVL4Cpt0e2t77Vx
73,Yaay,Bsw,29883,https://open.spotify.com/track/4gY9fdFTRmdyXKTmxRa4oI
74,ROXANNE,"Arizona Zervas",29001,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
75,"Stuck with U (with Justin Bieber)","Ariana Grande",28798,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
76,"Sweet but Psycho","Ava Max",28284,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
77,"Intentions (feat. Quavo)","Justin Bieber",28050,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
78,"Lose Somebody",Kygo,27907,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
79,"In Your Eyes","The Weeknd",27675,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
80,"Sunday Best",Surfaces,27606,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
81,"Life Is Good (feat. Drake)",Future,27097,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
82,Élvezd,"Punnany Massif",26763,https://open.spotify.com/track/15Zz41Ec3C6Rh6nDZa8331
83,"Valahol Itt","Bagossy Brothers Company",26663,https://open.spotify.com/track/4yaocgESiM55W0q8I8545J
84,"After Party","Don Toliver",26381,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
85,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",26328,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
86,"Hol van az a lány","DR BRS",26189,https://open.spotify.com/track/5qmqZ2Fh9dHhDT82afD08n
