,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Blood On My Jeans","Juice WRLD",9830,https://open.spotify.com/track/3MmCFghNjzZMn3HKqbVizn
56,Titanic,"Juice WRLD",9787,https://open.spotify.com/track/1QoG0Yqz1onMsdbOibZVke
57,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",9631,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
58,"everything i wanted","Billie Eilish",9509,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
59,"...And To Those I Love, Thanks For Sticking Around",$uicideBoy$,9302,https://open.spotify.com/track/41LhQUkElADQ5YUbpYv2D0
60,"Stuck with U (with Justin Bieber)","Ariana Grande",9176,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
61,"How You Like That",BLACKPINK,9164,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
62,"Piededzini Mann","Singapūras Satīns",9153,https://open.spotify.com/track/0q3QoeqUKLIiHz7d43nvGb
63,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)","Ty Dolla $ign",9134,https://open.spotify.com/track/4JB0EAT4BkLShTyTt50FmO
64,"Intentions (feat. Quavo)","Justin Bieber",9122,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
65,"Tell Me U Luv Me (with Trippie Redd)","Juice WRLD",9091,https://open.spotify.com/track/7iIzwqG5UxPYwTYUUK4pzU
66,"Wash Us In The Blood","Kanye West",9084,https://open.spotify.com/track/7mEUjhl6aTztdHCrxoTgBG
67,"Lose Somebody",Kygo,9044,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
68,"Godzilla (feat. Juice WRLD)",Eminem,9002,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
69,Secrets,Regard,8851,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
70,"SICKO MODE","Travis Scott",8819,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
71,"TKN (feat. Travis Scott)",ROSALÍA,8691,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
72,"Are You Bored Yet? (feat. Clairo)",Wallows,8674,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
73,"Chicago Freestyle (feat. Giveon)",Drake,8652,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
74,"Play Date","Melanie Martinez",8571,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
75,"hot girl bummer",blackbear,8476,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
76,MAMACITA,"Black Eyed Peas",8459,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
77,"Stay High","Juice WRLD",8344,https://open.spotify.com/track/1AnkdcHl86kEhDvhaKDuIe
78,"Fighting Demons","Juice WRLD",8284,https://open.spotify.com/track/0jo6Nd4iJU0UFHqS0Xd4l4
79,Комета,JONY,8232,https://open.spotify.com/track/1tjM9dP8GWkYl4orF7yLWD
80,"bad guy","Billie Eilish",8214,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
81,"Before You Go","Lewis Capaldi",8104,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
82,Kosandra,"Miyagi & Andy Panda",8086,https://open.spotify.com/track/4CeBKWWLXMrQMFsP0Q0K3V
83,"Someone You Loved","Lewis Capaldi",8085,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
84,"Up Up And Away","Juice WRLD",8049,https://open.spotify.com/track/5lcIegmdblnWqT9nS9EhZj
85,"Star Shopping","Lil Peep",7993,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
86,"Can't Die","Juice WRLD",7989,https://open.spotify.com/track/6DuHcOuuGWXNvF3uocsrBa
87,"Man Of The Year","Juice WRLD",7879,https://open.spotify.com/track/1uA914Md6wsy9NDryyBypH
88,"Увезите меня на Дип-хаус","GAYAZOV$ BROTHER$",7761,https://open.spotify.com/track/6Dh32tS5znKbryJdHXSRrC
89,"Screw Juice","Juice WRLD",7741,https://open.spotify.com/track/2XSO13Gyndo7MDdtYibIxO
90,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",7738,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
91,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",7726,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
92,Любимка,NILETTO,7708,https://open.spotify.com/track/1q7Ie8Tgphv4iBwUlr5B9j
93,"Boss Bitch","Doja Cat",7683,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
94,"GO (feat. Juice WRLD)","The Kid LAROI",7606,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew
95,"Vasara bez internetiem","Carnival Youth",7588,https://open.spotify.com/track/300RovkjzVAMBR912ZbAWi
96,"Draugs mans",$ourJ,7561,https://open.spotify.com/track/1FqmwkFnvYjX9ss46J426T
97,Robbery,"Juice WRLD",7485,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
98,"I Want It","Juice WRLD",7480,https://open.spotify.com/track/6RsRMf9e4KUyo3MecGffNL
99,"Zemes stunda",ansis,7467,https://open.spotify.com/track/6XUfSHZjqEaFNDeyxcYRi4
100,"OUT WEST (feat. Young Thug)",JACKBOYS,7395,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
101,ROXANNE,"Arizona Zervas",7382,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
102,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",7350,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
103,"Ты беспощадна",JONY,7302,https://open.spotify.com/track/1jSxIzFzDSdMqPnc7R5hfM
104,Двигаться,Raim,7300,https://open.spotify.com/track/5Dbh1jVOK401AzUmwfgc3v
105,Riptide,"Vance Joy",7194,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
106,"Beautiful People (feat. Khalid)","Ed Sheeran",7187,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
107,"YEAH RIGHT",Joji,7151,https://open.spotify.com/track/1VGzxJnVQND7Cg5H5wGj14
108,"Новый Мерин",MORGENSHTERN,7140,https://open.spotify.com/track/272fe0z4cll7gJM3G8HFA8
109,August,Intelligency,7074,https://open.spotify.com/track/3ZQ3kDvbNYIZI4uR1qQHII
110,"3 Nights","Dominic Fike",7049,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
111,"Lose Control",MEDUZA,7018,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
112,Краш,"Klava Koka",7008,https://open.spotify.com/track/02mPTM1usfKo8tsTGEJuuk
113,Ransom,"Lil Tecca",6984,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
114,Señorita,"Shawn Mendes",6884,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
115,"TROLLZ (with Nicki Minaj)",6ix9ine,6839,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
116,"NBA (Не мешай)",RSAC,6833,https://open.spotify.com/track/2LAs8ikwqxNmAIn2F5qPEr
117,"Sweater Weather","The Neighbourhood",6746,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
118,"lovely (with Khalid)","Billie Eilish",6741,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
119,"Got It On Me","Pop Smoke",6724,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
120,"Jocelyn Flores",XXXTENTACION,6697,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
121,"All Girls Are The Same","Juice WRLD",6638,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
122,"Know Your Worth",Khalid,6586,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
123,"you broke me first","Tate McRae",6556,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
124,"rockstar (feat. 21 Savage)","Post Malone",6547,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
125,"Rags2Riches (feat. ATR Son Son)","Rod Wave",6537,https://open.spotify.com/track/1ENdcyhqdylaLsPVgB83qq
126,"No Role Modelz","J. Cole",6484,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
127,Ogles,"Prāta Vētra",6458,https://open.spotify.com/track/0xZbTUeLOIXjAHFuyZNQr2
128,"Devil Eyes","Hippie Sabotage",6448,https://open.spotify.com/track/7MiZjKawmXTsTNePyTfPyL
129,"Wait a Minute!",WILLOW,6382,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
130,"Past Life (with Selena Gomez)","Trevor Daniel",6339,https://open.spotify.com/track/4P6IttK2PRBjyr3fm0pP7t
131,"Rozovoye Vino",Eldzhey,6335,https://open.spotify.com/track/4LDcQ9sLkKCie4XcKaEwJD
132,"Some Say - Felix Jaehn Remix",Nea,6325,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
133,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",6307,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
134,"Lights Up","Harry Styles",6306,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
135,"Roku Okeāns","Bermudu Divstūris",6222,https://open.spotify.com/track/7qfisxNvTUxlD6mvrw8673
136,"The Less I Know The Better","Tame Impala",6217,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
137,"Debesis iekrita tevī","Prāta Vētra",6195,https://open.spotify.com/track/0lNWDFt02EXYm86vH9BBRE
138,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",6153,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
139,Memories,"Maroon 5",6152,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
140,"Never Let Me Down",VIZE,6140,https://open.spotify.com/track/5TGcyccg8Hkgn9jB7gUpMN
141,"Falling Down - Bonus Track","Lil Peep",6080,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
142,"feel something","Bea Miller",6078,https://open.spotify.com/track/7JDWhC422Gtk1Bq0mL3OTC
143,"Ne man gucci, ne man nike","Bermudu Divstūris",5996,https://open.spotify.com/track/4V1ohqcLEL236dTSYOQZs3
144,SAD!,XXXTENTACION,5962,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
145,Life,Zivert,5958,https://open.spotify.com/track/2cAk8wPh4wPSCfOIfCWVTq
146,"XO Tour Llif3","Lil Uzi Vert",5916,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
147,"Yung Hefner",MORGENSHTERN,5899,https://open.spotify.com/track/2OHtlG0qUAHhy9YLfDEo0K
148,"Get Back","Pop Smoke",5879,https://open.spotify.com/track/3DWjFSDEQ9IWz1mj449fB7
149,"Higher Love",Kygo,5860,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
150,Sundress,"A$AP Rocky",5846,https://open.spotify.com/track/2aPTvyE09vUCRwVvj0I8WK
151,"Salauzta Sirds (feat. Ozols)",Dons,5841,https://open.spotify.com/track/4KV9h3YlxjISNYPKw8vpkw
