,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,9431,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
58,"Sigues Con El - Remix",Arcangel,9279,https://open.spotify.com/track/4Pu0a2TuHOYtI4CCE3HEXI
59,Tutu,Camilo,9036,https://open.spotify.com/track/1Ol5LmdNDNpFu1oNwfgkux
60,"La Forma en Que Me Miras","Super Yei",9007,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
61,Girl,"Myke Towers",8898,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
62,"How You Like That",BLACKPINK,8827,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
63,"Watermelon Sugar","Harry Styles",8794,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
64,"El Efecto - Remix","Rauw Alejandro",8793,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
65,"Pa Mí - Remix",Dalex,8752,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
66,"Toosie Slide",Drake,8565,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
67,"PA' ROMPERLA","Bad Bunny",8490,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i
68,"Por Primera Vez",Camilo,8472,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
69,"Soltera - Remix",Lunay,8441,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
70,"Ay, DiOs Mío!","KAROL G",8316,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
71,"Se Me Olvidó","Christian Nodal",8120,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
72,Bichiyal,"Bad Bunny",8051,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
73,"11 PM",Maluma,8024,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
74,Infeliz,Arcangel,8016,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
75,Reggaetonera,"Anuel AA",8000,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH
76,"Si Me Dices Que Sí",Reik,7984,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
77,"QUE PRETENDES","J Balvin",7952,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
78,Narcos,"Anuel AA",7937,https://open.spotify.com/track/7mcdgAXmb35dakBnfDIv3q
79,"Si Te Vas",Sech,7892,https://open.spotify.com/track/2aGN6PplBq0xigh2lmqLbw
80,Loco,Beéle,7854,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
81,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,7809,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
82,"Break My Heart","Dua Lipa",7773,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
83,"De Los Besos Que Te Di","Christian Nodal",7755,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
84,Blanco,"J Balvin",7731,https://open.spotify.com/track/5pXy29xzxR3aTB0SYRI590
85,"Adore You","Harry Styles",7696,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
86,+Linda,Dalex,7625,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
87,"El Mismo Aire - con Pablo Alborán",Camilo,7558,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
88,Definitivamente,"Daddy Yankee",7466,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
89,"Cuerpo en Venta",Noriel,7250,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
90,"Roses - Imanbek Remix","SAINt JHN",7193,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
91,"La Bebe - Remix","Anuel AA",7134,https://open.spotify.com/track/3DyiAk1BzIF8rq9rimypG4
92,Bellaquita,Dalex,7116,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
93,"Otro Trago - Remix",Sech,7107,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
94,"Pero Ya No","Bad Bunny",6915,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
95,Muévelo,"Nicky Jam",6878,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
96,"Whine Up","Nicky Jam",6808,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
97,"La player (Bandolera)","Zion & Lennox",6781,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
98,Follow,"KAROL G",6762,https://open.spotify.com/track/2w1rq80FIrbxeJy9WYURxw
99,"Rain On Me (with Ariana Grande)","Lady Gaga",6717,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
100,Desconocidos,"Mau y Ricky",6717,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
101,"La Mitad",Camilo,6704,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
102,Señorita,"Shawn Mendes",6684,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
103,"BAD CON NICKY","Bad Bunny",6634,https://open.spotify.com/track/5bmSver2b3ZXyuyLKtgnFI
104,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,6623,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
105,ADMV,Maluma,6548,https://open.spotify.com/track/3eJMSq78dDaFb7VvhNFnq6
106,"Que Tire Pa Lante","Daddy Yankee",6544,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
107,Negro,"J Balvin",6517,https://open.spotify.com/track/2hsA9YWuF3C9Gosi4dpjJN
108,"Los Besos",Greeicy,6374,https://open.spotify.com/track/6QSu3mgC8kUYtEDoBBQcJG
109,"Si Se Da - Remix","Myke Towers",6371,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
110,TBT,"Sebastian Yatra",6360,https://open.spotify.com/track/4s45VgkknMFkdiGoUcjxQU
111,Soliá,"Bad Bunny",6356,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
112,"Loco - Remix",Farruko,6333,https://open.spotify.com/track/6nGM44ZP7vSo0istUW2MOq
113,"Say So","Doja Cat",6305,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
114,Cuaderno,Dalex,6271,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
115,"La Mejor Versión de Mi - Remix","Natti Natasha",6217,https://open.spotify.com/track/2dy3TKVDEbIeWxeIb8JWqZ
116,"Verte Ir","DJ Luian",6212,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
117,"Que Calor (with J Balvin & El Alfa)","Major Lazer",6150,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
118,"No Te Contaron Mal","Christian Nodal",6134,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
119,Believer,"Imagine Dragons",6131,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
120,Quizas,"Rich Music LTD",6073,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
121,BENDICIONES,"Bad Bunny",5989,https://open.spotify.com/track/2CoMYp2uIKsT09nreEZnZn
122,"Me Rehúso","Danny Ocean",5974,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
123,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",5935,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
124,"Me Dediqué a Perderte","Alejandro Fernández",5925,https://open.spotify.com/track/4NUt1fcnO9aQAELBgXq3Kr
125,"La Incondicional","Luis Miguel",5914,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
126,"La Difícil",Camilo,5893,https://open.spotify.com/track/6fNJm8sYmCBbmkKpKgTReA
127,MAMACITA,"Black Eyed Peas",5871,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
128,"Toda Remix - Remix","Alex Rose",5867,https://open.spotify.com/track/47ZS1OjnJpJVfGN9yHXfMn
129,Caraluna,Bacilos,5821,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums
130,"La Playa","Myke Towers",5811,https://open.spotify.com/track/6768f4xbHQBpJo5lvFVNvs
131,"Con Altura",ROSALÍA,5788,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
132,"UN PESO","J Balvin",5785,https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa
133,Procura,"ChiChi Peralta",5753,https://open.spotify.com/track/2q9udNV9NK0BL3q9p6TLxf
134,"MÁS DE UNA CITA","Bad Bunny",5726,https://open.spotify.com/track/4EJHKSnHENfjOxXWryyNtL
135,"Me perdiste","Kim Loaiza",5688,https://open.spotify.com/track/1znPo0QYH2TeIBrOCSfrqI
136,"Fantasias - Remix","Rauw Alejandro",5671,https://open.spotify.com/track/0A37XY67wSdGqkGjtfW6aV
137,Memories,"Maroon 5",5661,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
138,Mejor,Dalex,5639,https://open.spotify.com/track/6C1jKbkCUgFws7M0M4oGCB
139,"Una Vez","Bad Bunny",5535,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
140,"Lamento Boliviano","Los Enanitos Verdes",5527,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA
141,"SICKO MODE","Travis Scott",5525,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
142,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",5524,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
143,"ily (i love you baby) (feat. Emilee)","Surf Mesa",5466,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
144,"Otro Trago",Sech,5447,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
145,25/8,"Bad Bunny",5392,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
146,"Savage Love (Laxed - Siren Beat)","Jawsh 685",5352,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
147,"Ты мой кайф","Dzharo & Khanza",5347,https://open.spotify.com/track/2MHSX5b2U5DEeebmpuX8Ha
148,"Ella Quiere Beber - Remix","Anuel AA",5330,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
149,goosebumps,"Travis Scott",5257,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
150,"MIA (feat. Drake)","Bad Bunny",5245,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
151,Locura,"Cali Y El Dandee",5239,https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr
152,"La Playa - Remix","Myke Towers",5223,https://open.spotify.com/track/70zg99pT51vB4wlMS7e4q7
153,Keii,"Anuel AA",5220,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
154,Falling,"Trevor Daniel",5210,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
155,"Ahora Te Puedes Marchar","Luis Miguel",5200,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
156,"Calma - Remix","Pedro Capó",5167,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
157,"Someone You Loved","Lewis Capaldi",5164,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
