,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
52,"Say So","Doja Cat",48993,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
53,"Rain On Me (with Ariana Grande)","Lady Gaga",47787,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
54,"Đi Đu Đưa Đi","Bich Phuong",47255,https://open.spotify.com/track/2OZTkXYCNbZS9TwPRy52Js
55,"Sau Nay, Hay Gap Lai Nhau Khi Hoa No","Nguyen Ha",46180,https://open.spotify.com/track/4LOhNmNsr4JSSQqTIsrUo1
56,"Can We Kiss Forever?",Kina,45985,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
57,"7 rings","Ariana Grande",43835,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
58,"bad guy","Billie Eilish",43332,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
59,"mama boy",AMEE,43232,https://open.spotify.com/track/3CwALGfKDBlCwGdiMLSCTY
60,"xuân, hạ, thu, đông rồi lại xuân",AMEE,43066,https://open.spotify.com/track/5juiUHT5HSYUexbmPIVeOV
61,2002,Anne-Marie,42656,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
62,"So Close",Binz,41881,https://open.spotify.com/track/1C7aNWtuAK07clP7lOQnno
63,"Without Me",Halsey,41487,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
64,Maria,"Hwa Sa",41377,https://open.spotify.com/track/2kqnQCChvRpDRAasIwc4Rh
65,"Boy With Luv (feat. Halsey)",BTS,41315,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
66,"I Love You 3000","Stephanie Poetri",41095,https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc
67,"Có Người","Vu Cat Tuong",40143,https://open.spotify.com/track/5pf3f5rhtUnZ1PeTcHKVdz
