,Genre,count
1381, norwegian hip hop,1
1382,brooklyn indie,3
1383,sertanejo,1
1384, sertanejo pop,1
1385, sertanejo universitario,2
1386,estonian hip hop,1
1387,electro swing,1
1388,finnish punk,1
1389,canadian electronic,1
1390, ska mexicano,1
1391, country boogie,2
1392,midwest americana,1
1393,jazz trombone,1
1394,rif,1
1395,french indie pop,1
1396, french indietronica,1
1397, new french touch,1
1398,anime,1
1399, otacore,2
1400,nerdcore,1
1401,red dirt,1
1402,kids dance party,2
1403,broken beat,2
1404, uk contemporary jazz,2
1405, garage punk,1
1406, power-pop punk,1
1407, mbalax,1
1408, mollywood,1
1409,progressive house,1
1410, uplifting trance,1
1411,azonto,1
1412, panamanian pop,2
1413,classic eurovision,1
1414, rap conscient,2
1415,j-pop,1
1416, japanese singer-songwriter,1
1417,indie rock,1
1418, bossa nova,2
1419,rebel blues,1
1420,modern blues rock,1
1421, charlottesville indie,1
1422, western swing,1
1423,harmonica blues,1
1424, deep new wave,1
1425,contemporary post-bop,1
1426, lo star,2
1427, quebec indie,1
1428,hopebeat,1
1429,aussietronica,1
1430, rhythm and boogie,1
1431,funeral doom,1
1432, gothic doom,1
1433, space rock,1
1434, canadian electronic,1
1435, melodic metalcore,4
1436, swedish alternative rock,1
1437, swedish metalcore,1
1438, polynesian pop,1
1439, indie cafe pop,1
1440,massage,1
1441,texas blues,1
1442,classic russian rock,1
1443,anarcho-punk,1
1444,soca,1
1445, mod revival,1
1446,vapor pop,1
1447,plunder,2
1448,brazilian psychedelic,1
1449,hyphy,1
1450,p funk,1
1451,basshall,1
1452, dutch hip hop,1
1453, dutch urban,1
1454,futurepop,1
1455, croatian pop,1
1456,canadian soundtrack,1
1457, baltimore indie,1
1458,jazz vibraphone,1
1459,exotica,1
1460, moog,1
1461, comic metal,1
1462, drama,1
1463, vintage radio show,1
1464,alt-idol,1
1465, idol rock,1
1466, j-pixie,1
1467,opm,1
1468, pinoy rock,1
1469, synth punk,3
1470,classic danish pop,1
1471, metalcore,3
1472, uk metalcore,2
1473, welsh metal,2
1474,deathcore,1
1475,brass band,1
1476, street band,1
1477, c86,1
1478, garage psych,1
1479, noise rock,1
1480, ohio indie,1
1481, nl folk,1
1482,nightcore,1
1483,experimental,1
1484,sertanejo pop,1
1485,deep funk house,1
1486,pinoy hip hop,1
1487,dutch hip hop,1
1488,icelandic indie,1
1489, icelandic rock,1
1490, australian house,1
1491, bass house,1
1492,traditional folk,1
1493,brazilian death metal,1
1494, brazilian metal,1
1495, brazilian thrash metal,1
1496, crossover thrash,1
1497, new wave of thrash metal,1
1498,rap rock,1
1499, red dirt,1
1500, ann arbor indie,1
1501,dutch r&b,1
1502, modern folk rock,1
1503,belgian rock,1
1504, el paso indie,1
1505,german rock,1
1506,soundtrack,1
1507,wind quintet,1
1508,yodeling,1
1509,comic metal,1
1510,metal,1
1511,synthpop,1
1512,ambient psychill,1
1513, psychill,1
1514,progressive psytrance,1
1515, euro hi-nrg,1
1516,west coast rap,1
1517,derby indie,1
1518,post-disco soul,1
1519, polka,1
