,Genre,count
333,danish pop,3
334,bossa nova,22
335, brazilian jazz,18
336, samba,14
337, electro,61
338, popping,21
339,alternative emo,10
340, anthem emo,5
341, soul blues,296
342,utah indie,2
343,new romantic,9
344,r&b,16
345, norwegian pop,4
346,northern soul,41
347, dark trap,2
348, emo rap,5
349, ottawa rap,2
350, underground hip hop,62
351,quiet storm,21
352, garage rock,74
353, madchester,20
354,gangster rap,66
355, southern soul blues,17
356, australian dance,34
357, album rock,115
358, new jersey rap,36
359,gospel,14
360,lounge,5
361, steel guitar,2
362, arkansas country,34
363, classic country pop,137
364, p funk,17
365,reggae rock,1
366, west coast reggae,1
367,alternative hip hop,99
368, bronx hip hop,4
369, jazz rap,18
370,battle rap,11
371,classic girl group,25
372,easy listening,24
373, honky-tonk piano,10
374,deep free jazz,3
375, canadian psychedelic,7
376, psychedelic folk,21
377,british folk,25
378, celtic rock,7
379, indie rock,104
380, indietronica,79
381, la indie,21
382, modern alternative rock,28
383,chicano rap,34
384, hyphy,37
385, west coast trap,15
386, australian rock,78
387,philly soul,11
388, outlaw country,129
389,deep disco,47
390,bounce,12
391, crunk,57
392, native american,18
393,classic garage rock,59
394, cosmic american,25
395, pub rock,73
396,blues rock,151
397, jazz fusion,69
398,eurodance,28
399, new beat,5
400, piano blues,111
401, neon pop punk,29
402,gabba,1
403, happy hardcore,1
404, hardcore techno,11
405,electro,23
406, miami bass,12
407, dancehall,13
408,contemporary vocal jazz,5
409,traditional rockabilly,7
410,crunk,46
411,rare groove,16
412,novelty,54
413,easycore,1
414, skate punk,15
415,alternative pop rock,3
416,modern rock,68
417,chillhop,2
418,canadian folk,12
419, jangle pop,51
420, power pop,165
421, old school hip hop,98
422,classic uk pop,105
423, nederpop,30
424, canadian metal,31
425,deep soft rock,29
426, southern rock,156
427, old school dancehall,18
428, riddim,5
429, rock steady,18
430,vintage swoon,5
431,girl group,24
432,soft rock,70
433, indie pop rap,11
434, soca,12
435,alternative roots rock,1
436, romanian pop,2
437,jangle pop,17
438, underground power pop,22
439, wrestling,21
440,modern folk rock,11
441, stomp and holler,110
442, uk americana,25
443,modern southern rock,3
444,emo,48
445, electro house,67
446, dream pop,14
447, gothic rock,11
448, post-punk,48
449,old school hip hop,1
450,southern soul,27
451,big beat,12
452, breakbeat,3
453,minneapolis sound,13
454,smooth jazz,15
455, smooth saxophone,11
456,broadway,24
457,bluegrass,6
458,europop,65
459, freestyle,28
460, italian disco,12
461, instrumental funk,19
462, instrumental soul,45
463, country gospel,26
464, cool jazz,61
465, soul jazz,112
466, boy band,17
467, louisiana blues,68
468,indie poptimism,6
469, rap metal,61
470,go-go,2
471, uk reggae,7
472, canadian rock,48
473, zolo,49
474,neo soul,29
475, funk metal,64
476, oxford indie,3
477,cyberpunk,1
478, new age,4
479,alternative dance,49
480,folk rock,11
481,cartoon,3
482," ""childrens music""",2
483, art pop,36
484, baroque pop,13
485, swamp pop,27
486, grunge,54
487, surf music,66
488,soul,16
489,deep talent show,38
490, ectofolk,18
491, strut,4
492,jam band,9
493,ethiopian pop,4
494,indie pop rap,9
495,appalachian folk,22
496, chamber pop,21
497, indie pop,124
498,complextro,10
499,rhythm and blues,68
500,hard rock,16
501, old school thrash,18
502, speed metal,22
503, thrash metal,19
504,dutch house,7
505, dutch pop,7
506,new jersey rap,12
507, pittsburgh rap,28
508, underground rap,1
509,modern country rock,3
510, idol,23
511, indiecoustica,32
512, ny roots,7
513,lilith,20
514, houston rap,7
515,big band,10
516,christian indie,3
517, memphis hip hop,21
518, bolero,9
519, scottish new wave,13
520,classical performance,17
521, orchestral performance,17
522, neo classical metal,8
523,instrumental soul,17
524, rare groove,15
525,bassline,2
526,redneck,3
527,acid house,5
528, swedish hard rock,7
529,calming instrumental,12
530,merseybeat,16
531,blues,139
532, chicago blues,16
533, delta blues,3
534, traditional blues,57
535, nz pop,8
536, compositional ambient,12
537, focus,16
538, neo-classical,11
539, new age piano,12
540,afropop,3
541, mande pop,3
542, south african jazz,7
543, world,10
544, xhosa,2
545,reggae,15
546,german jazz,2
547,banda,14
548, corrido,3
549, deep regional mexican,3
550, norteno,16
551, regional mexican,12
552, regional mexican pop,7
553,sevdah,14
554, turbo folk,14
555, yugoslav rock,14
556,spanish invasion,1
557, new orleans funk,25
558,canadian electropop,7
559, indie electropop,11
560,classic opm,1
561, opm,1
562,canadian indie,12
563,boston rock,8
564, brit funk,4
565,classic norwegian pop,1
566,bakersfield sound,21
567,canadian psychedelic,5
568,deep freestyle,8
569,lovers rock,11
570,jazz organ,6
571, electronica,25
572,swamp pop,20
573, exotica,20
574,chicago house,14
575, deep southern trap,12
576, moombahton,8
577,house,2
578, ballroom,16
579,space age pop,16
580,bebop,30
581, contemporary post-bop,31
582, hard bop,28
583, palm desert scene,2
584, stoner metal,2
585, stoner rock,8
586,classic soundtrack,8
587, latin classical,1
588, latin soundtrack,1
589, theme,3
590, parody,27
591, electropowerpop,17
592, trancecore,7
593,new wave,5
594,acid jazz,9
595, deep northern soul,2
596,alberta country,21
597,c86,7
598, scottish indie,4
599,hammond organ,18
600, jazz organ,30
601,scottish new wave,2
602,jump blues,11
603, classic danish pop,1
604, dansktop,1
605, torch song,70
606, vintage schlager,2
607,jazz funk,21
608, jazz piano,11
609, smooth jazz,67
610, welsh rock,6
611,lo-fi beats,2
612, outsider,5
613,neo-synthpop,3
614,miami bass,22
615,chamber pop,6
616, indie anthem-folk,2
617, indie folk,72
618, irish singer-songwriter,2
619, new americana,58
620, escape room,52
621, chicago rap,7
622, roots reggae,23
623, dance-punk,35
624, new rave,40
625, swedish garage rock,1
626, swedish indie rock,2
627,cosmic american,7
628, jam band,29
629,indie folk,4
630, korean r&b,1
631, experimental pop,6
632, canadian indigenous,4
633,alternative country,11
634,deep new wave,8
635,jazz blues,25
636, jazz saxophone,20
637,rawstyle,2
638,dance-punk,11
639, punk blues,33
640, bebop,16
641, big band,23
642,country road,10
643,deep northern soul,8
644,normal indie,1
645,dub,11
646, lovers rock,14
647, reggae,18
648,christian metal,4
649,classic italian pop,7
650, channel pop,2
651,traditional soul,3
652,diva house,28
653, dixieland,6
654, jazz trumpet,14
655, new orleans jazz,8
656, canadian indie,10
657,deep norteno,4
658, duranguense,6
659, musica potosina,1
660, norteno-sax,5
661, canadian contemporary country,12
662, canadian country,55
663, filter house,5
664,afrobeat,15
665, novelty,33
666,modern alternative rock,7
667,rock-and-roll,52
668, portland indie,4
669, michigan indie,7
670, movie tunes,24
671, old school uk hip hop,3
