,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
70,HIGHEST IN THE ROOM,Travis Scott,1242650,3eekarcy7kvN4yt5ZFzltW
71,Dior,Pop Smoke,1218395,79s5XnCN4TJKTVMSmOx8Ep
72,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1205738,0RiRZpuVRbi7oqRdSMwhQY
73,bad guy,Billie Eilish,1198044,2Fxmhks0bxGSBdJ92vM42m
74,Tattoo - Remix,Rauw Alejandro,1197618,4ZRrLHqzhGRXYj2qcB4s5S
75,Safaera,Bad Bunny,1191275,2DEZmgHKAvm41k4J3R2E9Y
76,Elegí (feat. Dímelo Flow),Rauw Alejandro,1183392,50ZC4PM7hywH27RcCfViau
77,SICKO MODE,Travis Scott,1174833,2xLMifQCjDGFmkHkpNLD9h
78,Life Is Good (feat. Drake),Future,1159411,1K5KBOgreBi5fkEHvg5ap3
79,ROXANNE,Arizona Zervas,1156468,696DnlkuDOXcMAnKlTgXXK
80,WHATS POPPIN,Jack Harlow,1156008,1jaTQ3nqY3oAAYyCTbIvnM
81,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,1151196,0dZpw3h6KZhcHec61qwevZ
82,Stunnin' (feat. Harm Franklin),Curtis Waters,1147042,2D0dj3hVkRQJCp63cxCPEx
83,Yo Perreo Sola,Bad Bunny,1141454,0SqqAgdovOE24BzxIClpjw
84,Got It On Me,Pop Smoke,1137723,25zlnOAzbVoOzIeXSvQFf1
85,Ride It,Regard,1136833,2tnVG71enUj33Ic2nFN6kZ
86,After Party,Don Toliver,1128320,527k23H0A4Q0UJN3vGs0Da
87,Rags2Riches (feat. ATR Son Son),Rod Wave,1127416,1ENdcyhqdylaLsPVgB83qq
88,Azul,J Balvin,1120210,2lCkncy6bIB0LTMT7kvrD1
89,Favorito,Camilo,1105586,0jT8Nl0shPS8115is0wD2Q
90,Chicago Freestyle (feat. Giveon),Drake,1097086,4wVOKKEHUJxHCFFNUWDn0B
91,Secrets,Regard,1096317,66W1rVTnEv86dIkFhoiElg
92,We Paid (feat. 42 Dugg),Lil Baby,1092263,6gxKUmycQX7uyMwJcweFjp
93,Rojo,J Balvin,1080852,380HmhwTE2NJgawn1NwkXi
94,If the World Was Ending - feat. Julia Michaels,JP Saxe,1071440,2kJwzbxV2ppxnQoYw4GLBZ
95,GO (feat. Juice WRLD),The Kid LAROI,1052871,2t7D3y0jvYjR8IP9Bosyew
96,lovely (with Khalid),Billie Eilish,1052035,0u2P5u6lvoDfwTYjAADbn4
97,The Adventures of Moon Man & Slim Shady (with Eminem),Kid Cudi,1048070,38iBrrbbXyWaSPkmuDNgjZ
98,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,1044518,7lUdbnz7wsv3C9zzf4WHl9
99,everything i wanted,Billie Eilish,1032923,3ZCTVFBt2Brf31RLEnCkWJ
100,Rover (feat. DTG),S1mba,1020024,4slSrbTK1sNK4I1mDYEthf
101,Robbery,Juice WRLD,1010946,6Hj9jySrnFppAI0sEMCZpJ
102,Bläulich,Apache 207,1001892,57tck8MCxkY6tcQC6VhahR
103,Godzilla (feat. Juice WRLD),Eminem,1001502,7FIWs0pqAYbP91WWM0vlTQ
104,Tak Tiki Tak,Harry Nach,998853,7gwwt1IaAWwmB7af0AcuBM
105,Are You Bored Yet? (feat. Clairo),Wallows,966417,57RA3JGafJm5zRtKJiKPIm
106,Some Say - Felix Jaehn Remix,Nea,965317,7C1trmcQQ5n5RNy4l6ziCv
107,Shallow,Lady Gaga,959390,2VxeLyX666F8uXCJ0dZF8B
108,I Don't Care (with Justin Bieber),Ed Sheeran,957141,0hVXuCcriWRGvwMV1r5Yn9
109,Boss Bitch,Doja Cat,956401,78qd8dvwea0Gosb6Fe6j3k
110,CÓMO SE SIENTE - Remix,Jhay Cortez,944269,2tFwfmceQa1Y6nRPhYbEtC
111,Mariposa,Peach Tree Rascals,934055,4ja2gzrNh9VNigzoXfmbwD
112,hot girl bummer,blackbear,925177,7aiClxsDWFRQ0Kzk5KI5ku
113,Believer,Imagine Dragons,916720,0pqnGHJpmpxLKifKRmU6WP
114,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,903955,1pqnQ41XbfKjaFu6M0eGJp
115,Physical,Dua Lipa,902067,3AzjcOeAmA57TIOr9zF1ZW
116,Lose Control,MEDUZA,881812,7CHi4DtfK4heMlQaudCuHK
117,The Bigger Picture,Lil Baby,881522,44gRhRi2OhEf7moAUj6MD1
118,Walk Em Down (feat. Roddy Ricch),NLE Choppa,875721,4cSSL3YafYjM3yjgFO1vJg
119,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",Ty Dolla $ign,869408,4JB0EAT4BkLShTyTt50FmO
120,Tattoo,Rauw Alejandro,859323,7na7Bk98usp84FaOJFPv3d
121,Jocelyn Flores,XXXTENTACION,855735,7m9OqQk4RVRkw9JJdeAw96
122,Falling,Harry Styles,837728,1ZMiCix7XSAbfAJlEZWMCp
123,Sour Candy (with BLACKPINK),Lady Gaga,830649,1IWNylpZ477gIVUDpJL66u
124,SAD!,XXXTENTACION,828301,3ee8Jmje8o58CHK66QrVC2
125,PORFA,Feid,825981,4TOmcZvw0gHa7GiXRbcYAW
126,Beautiful People (feat. Khalid),Ed Sheeran,818580,70eFcWOvlMObDhURTqT4Fv
127,Anxiety,Juice WRLD,815090,0YevRlTDW9tyIwViCyke8Q
128,7 rings,Ariana Grande,814421,6ocbgoVGwYJhOv1GgI9NsF
129,RITMO (Bad Boys For Life),Black Eyed Peas,808310,4NCsrTzgVfsDo8nWyP8PPc
130,rockstar (feat. 21 Savage),Post Malone,808207,0e7ipj03S05BNilyu5bRzt
131,All Girls Are The Same,Juice WRLD,803427,4VXIryQMWpIdGgYR4TrjT1
132,Bandit (with YoungBoy Never Broke Again),Juice WRLD,798006,6Gg1gjgKi2AK4e0qzsR7sd
133,Shape of You,Ed Sheeran,781206,7qiZfU4dY1lWllzX7mPBI3
134,Happier,Marshmello,781084,2dpaYNEQHiRxtZbfNsse99
135,when the party's over,Billie Eilish,780756,43zdsphuZLzwA9k4DJhU0I
136,Say You Won't Let Go,James Arthur,780202,5uCax9HTNlzGybIStD3vDh
137,Skechers,DripReport,771993,2alc8VZAzDgdAsL2QMk3hu
138,Amarillo,J Balvin,770719,6zEgnpM0qYmHLDnh8WPejL
139,Desce Pro Play (PA PA PA),Mc Zaac,766252,4zGtfOglDBfVUypabBwIjQ
140,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,765832,3nS9a01VvXHQriLqJYwRqG
141,Bohemian Rhapsody - 2011 Mix,Queen,763267,4u7EnebtmKWzUH433cf5Qv
142,Wash Us In The Blood,Kanye West,760147,7mEUjhl6aTztdHCrxoTgBG
143,you broke me first,Tate McRae,759790,45bE4HXI0AwGZXfZtMp8JR
144,"The Man, The Myth, The Legend",Juice WRLD,759537,0veNpTQFqfmTX0rsJmO2rO
145,TROLLZ (with Nicki Minaj),6ix9ine,758841,3dVvWnj4D8JGkKvo6Hucso
146,El Efecto,Rauw Alejandro,755650,4SJHHpKhcuXwDsCsPqshXj
147,Tiefschwarz (feat. Samra),Kontra K,753738,7bDSLyTjZ1VjU5kPHTL3Ko
148,Reggaetonera,Anuel AA,752859,6yVkakCN460KOVol9ZazjH
149,Perfect,Ed Sheeran,746847,0tgVpDi06FyKpA1z0VMD4v
150,Gangstas,Pop Smoke,743017,1hg3RlqFZXJb5YgRoK9qmF
151,OUT WEST (feat. Young Thug),JACKBOYS,740917,6gi6y1xwmVszDWkUqab1qw
152,Juice WRLD Speaks From Heaven,Juice WRLD,740912,2GriTXl7gRSBv1A2IGZtnL
153,Ransom,Lil Tecca,737909,1lOe9qE0vR9zwWQAOk6CoO
154,PAM,Justin Quiles,733955,0eeKDrQxjqNl5bX5VCHDcn
155,Monster,Red Velvet - IRENE & SEULGI,732443,6c1QaQHdDhtFMfUkhueuXK
156,Savage,Megan Thee Stallion,730148,55CHeLEfn5iJ0IIkgaa4si
157,Flex (feat. Juice WRLD),Polo G,730035,2QqJTIlGKRLJC3onkavYEz
158,Without Me,Halsey,716574,6FZDfxM3a3UCqtzo5pxSLZ
159,Ballin' (with Roddy Ricch),Mustard,716112,3QzAOrNlsabgbMwlZt7TAY
160,Morado,J Balvin,710068,35KmOEIUqAGn02t7n4qaIr
161,Jangueo,Alex Rose,708289,5m3jpKkgkfoMcym1qjToFg
162,Past Life (with Selena Gomez),Trevor Daniel,704189,4P6IttK2PRBjyr3fm0pP7t
163,La Difícil,Bad Bunny,702598,6NfrH0ANGmgBXyxgV2PeXt
164,Mood Swings (feat. Lil Tjay),Pop Smoke,701966,5rZlwNFl01HqLWBQGryKSm
165,Alane,Robin Schulz,693301,2u6Jm2klS4yvAlbSHlxUwI
166,High Fashion (feat. Mustard),Roddy Ricch,689851,07KXEDMj78x68D884wgVEm
167,Diosa,Myke Towers,678286,3JHpk0DOTOzyh0777JFAky
168,It's You,Ali Gatie,676673,5DqdesEfbRyOlSS3Tf6c29
169,Moonlight,XXXTENTACION,676126,0JP9xo3adEtGSdUEISiszL
170,All of Me,John Legend,675398,3U4isOIWM3VvDubwSI3y7a
171,Bruises,Lewis Capaldi,675061,4Of7rzpRpV1mWRbhp5rAqG
172,Ignorantes,Bad Bunny,673613,38RIEav39FGi86jppxO0du
173,Get You The Moon (feat. Snøw),Kina,672729,4ZLzoOkj0MPWrTLvooIuaa
174,Head & Heart (feat. MNEK),Joel Corry,672697,6cx06DFPPHchuUAcTxznu9
175,"10,000 Hours (with Justin Bieber)",Dan + Shay,668218,2wrJq5XKLnmhRXHIAf9xBa
176,Youngblood,5 Seconds of Summer,667921,2iUXsYOEPhVqEBwsqP70rE
177,21,Polo G,661974,3JKgcAa7r07ocVWcV8bS0H
178,Something Special,Pop Smoke,660504,5kkaSMcf4BFlhRRICCKZb6
179,YAYA,6ix9ine,660226,6EfBMJQwe2xLgldra6DaYp
180,Yummy,Justin Bieber,659937,16wAOAZ2OkqoIDN7TpChjR
181,The Less I Know The Better,Tame Impala,659228,6K4t31amVTZDgR3sKmwUJJ
182,Riptide,Vance Joy,658214,7yq4Qj7cqayVTp3FF9CWbm
183,Something Just Like This,The Chainsmokers,657995,6RUKPb4LETWmmr3iAEQktW
184,This City,Sam Fischer,656690,3H3r2nKWa3Yk5gt8xgmsEt
185,Like That (feat. Gucci Mane),Doja Cat,651310,4EivmOT13NMpNSfTKn9p4s
186,China,Anuel AA,651033,0KkIkfsLEJbrcIhYsCL7L5
187,Be Like That - feat. Swae Lee & Khalid,Kane Brown,650160,5f1joOtoMeyppIcJGZQvqJ
188,Never Let Me Down,VIZE,649088,5TGcyccg8Hkgn9jB7gUpMN
189,Make It Rain (feat. Rowdy Rebel),Pop Smoke,648967,71d7LaAgPcNcUopu3OzmP7
190,Hola - Remix,Dalex,645923,5stPVcRqb4qixbafP9e8lt
191,BOP,DaBaby,645829,6Ozh9Ok6h4Oi1wUSLtBseN
192,Be Alright,Dean Lewis,644815,5qrSlOut2rNAWv3ubArkNy
193,"Ay, DiOs Mío!",KAROL G,644670,7x4ASXYEKfQBCewcZhK776
194,Old Town Road - Remix,Lil Nas X,643797,2YpeDb67231RjR0MgVLzsG
195,Goodbyes (feat. Young Thug),Post Malone,642621,0t3ZvGKlmYmVsDzBJAXK8C
196,Sweet but Psycho,Ava Max,642126,25sgk305KZfyuqVBQIahim
197,Wait a Minute!,WILLOW,641500,0y60itmpH0aPKsFiGxmtnh
198,July,Noah Cyrus,639688,6J2LdBN97cDWn0MLxYh9HB
199,Aim For The Moon (feat. Quavo),Pop Smoke,637814,6O7fPYTsb2mY0PiFt2ymDB
200,El Mismo Aire - con Pablo Alborán,Camilo,637328,5EbtodsuLbxrFDH6j5avVS
